■ '더 퍼스트 슬램덩크' 일자별 통계정보,,,,,,,,,,,,,,
- 조회일: 2023-08-13,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2023-07-23,16,0.20%,18,0.10%,"1,935",0.10%,20.30%,"3,927,874",-4671850 ( -54.3% ),393,-369 ( -48.4% ),"49,127,328,191","4,701,561",24
2023-07-24,17,0.30%,19,0.10%,"1,969",0.10%,14.20%,"2,713,524",-1214350 ( -30.9% ),279,-114 ( -29.0% ),"49,130,041,715","4,701,840",21
2023-07-25,15,0.20%,19,0.10%,"1,944",0.10%,19.80%,"3,774,333",1060809 ( 39.1% ),384,105 ( 37.6% ),"49,133,816,048","4,702,224",21
2023-07-26,15,0.20%,17,0.10%,"1,742",0.10%,17.30%,"2,649,612",-1124721 ( -29.8% ),302,-82 ( -21.4% ),"49,136,465,660","4,702,526",29
2023-07-27,14,0.20%,16,0.10%,"1,653",0.10%,16.80%,"2,703,906",54294 ( 2.0% ),277,-25 ( -8.3% ),"49,139,169,566","4,702,803",25
2023-07-28,15,0.20%,18,0.10%,"2,091",0.10%,25.30%,"5,623,306",2919400 ( 108.0% ),530,253 ( 91.3% ),"49,144,792,872","4,703,333",19
2023-07-29,27,0.40%,32,0.20%,"4,377",0.20%,34.10%,"15,967,962",10344656 ( 184.0% ),"1,491",961 ( 181.3% ),"49,160,760,834","4,704,824",15
2023-07-30,25,0.40%,33,0.20%,"3,861",0.10%,38.70%,"15,789,830",-178132 ( -1.1% ),"1,493",2 ( 0.1% ),"49,176,550,664","4,706,317",16
2023-07-31,51,0.80%,61,0.30%,"9,084",0.30%,43.10%,"41,494,578",25704748 ( 162.8% ),"3,914",2421 ( 162.2% ),"49,218,045,242","4,710,231",10
2023-08-01,17,0.30%,26,0.10%,"3,514",0.10%,12.20%,"4,332,018",-37162560 ( -89.6% ),427,-3487 ( -89.1% ),"49,222,377,260","4,710,658",19
2023-08-02,21,0.30%,22,0.10%,"2,617",0.10%,16.70%,"4,293,384",-38634 ( -0.9% ),437,10 ( 2.3% ),"49,226,670,644","4,711,095",19
2023-08-03,94,1.30%,126,0.70%,"20,106",0.70%,73.00%,"162,265,158",157971774 ( 3679.4% ),"14,673",14236 ( 3257.7% ),"49,388,935,802","4,725,768",6
2023-08-04,27,0.40%,29,0.10%,"3,941",0.10%,12.30%,"5,012,755",-157252403 ( -96.9% ),485,-14188 ( -96.7% ),"49,393,948,557","4,726,253",17
2023-08-05,22,0.30%,25,0.10%,"3,384",0.10%,25.50%,"10,065,521",5052766 ( 100.8% ),864,379 ( 78.1% ),"49,404,014,078","4,727,117",17
2023-08-06,22,0.30%,25,0.10%,"3,084",0.10%,17.80%,"5,578,971",-4486550 ( -44.6% ),550,-314 ( -36.3% ),"49,409,593,049","4,727,667",21
2023-08-07,25,0.40%,28,0.20%,"3,354",0.10%,11.60%,"3,793,651",-1785320 ( -32.0% ),390,-160 ( -29.1% ),"49,413,386,700","4,728,057",20
2023-08-08,24,0.40%,29,0.20%,"3,571",0.10%,9.90%,"3,319,028",-474623 ( -12.5% ),353,-37 ( -9.5% ),"49,416,705,728","4,728,410",21
2023-08-09,18,0.30%,20,0.10%,"2,313",0.10%,10.10%,"2,156,855",-1162173 ( -35.0% ),233,-120 ( -34.0% ),"49,418,862,583","4,728,643",23
2023-08-10,18,0.30%,20,0.10%,"2,286",0.10%,5.40%,"1,308,600",-848255 ( -39.3% ),124,-109 ( -46.8% ),"49,420,171,183","4,728,767",25
2023-08-11,20,0.30%,23,0.10%,"2,853",0.10%,20.00%,"5,812,306",4503706 ( 344.2% ),570,446 ( 359.7% ),"49,425,983,489","4,729,337",14
2023-08-12,21,0.30%,25,0.10%,"3,276",0.10%,33.30%,"11,349,894",5537588 ( 95.3% ),"1,091",521 ( 91.4% ),"49,437,333,383","4,730,428",14
