■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202301~202306   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2023년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
42,매그놀리아,2000-04-15,37542000,0,44274000,4027,4931,15,198,미국,미국,
43,익스트림 페스티벌,2023-06-07,34034331,0,35834331,3915,4115,42,441,한국,한국,트윈플러스파트너스(주)
44,북 클럽: 넥스트 챕터,2023-06-07,25234800,0,25234800,3892,3892,19,166,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
45,뱀파이어와의 인터뷰,1994-12-31,35235000,0,36559000,3798,3995,15,201,미국,미국,
46,광대: 소리꾼,2022-02-24,24549000,0,177722770,3507,23269,2,25,한국,한국,트윈플러스파트너스(주)
47,바닐라 스카이,2001-12-20,30423000,0,30423000,3207,3207,15,172,미국,미국,UIP코리아
48,어퓨굿맨,1992-12-18,25524000,0,25595000,2999,3022,15,173,미국,미국,
49,위대한 작은 농장,2023-06-14,23960454,0,26587754,2818,3110,31,352,미국,미국,(주)엣나인필름
50,나의 사소한 슬픔,2023-06-14,20450150,0,21528150,2487,2641,73,507,캐나다,캐나다,스튜디오 에이드
51,문재인입니다,2023-05-10,21893899,0,1114517035,2273,115115,10,118,한국,한국,유한회사 엠프로젝트
52,아이즈 와이드 셧,2000-09-01,19950000,0,37051500,2257,4486,15,161,미국,미국,워너브러더스 코리아(주)
53,레인맨,1989-05-05,18531000,0,19393000,2106,2279,11,155,미국,미국,유나이티드 아티스트
54,박하경 여행기,2023-06-07,21235800,0,21235800,2084,2084,34,453,한국,한국,씨제이 씨지브이(CJ CGV)(주)
55,영웅,2022-12-21,13056000,0,32285152750,2045,3272376,4,24,한국,한국,(주)씨제이이엔엠
56,리바운드,2023-04-05,15854920,0,6687844348,2021,697340,4,35,한국,한국,(주)바른손이앤에이
57,인드림,2023-06-21,14796250,0,14796250,1993,1993,45,257,한국,한국,주식회사 원더스튜디오
58,순응자,2016-01-28,16670427,0,66298827,1959,8513,21,245,이탈리아,"이탈리아,프랑스,독일","일미디어,㈜영화사 백두대간"
59,스프린터,2023-05-24,17273855,0,65155480,1892,7944,29,324,한국,한국,스튜디오 에이드
60,마마무: 마이콘 더 무비,2023-06-21,37318500,0,37318500,1866,1866,21,228,한국,한국,(주)위즈온센
61,치치핑핑의 쿵쿵따 탐험대,2023-04-10,11099000,0,41406000,1845,6879,6,46,한국,한국,(주)에픽캔
62,악마들,2023-07-05,16596000,0,16596000,1833,1833,8,9,한국,한국,TCO(주)더콘텐츠온
63,다음 소희,2023-02-08,16575000,0,1100047168,1786,115641,4,37,한국,한국,트윈플러스파트너스(주)
64,이윽고 바다에 닿다,2023-06-07,15208135,0,15208135,1622,1622,19,235,일본,일본,(주)블루라벨픽쳐스
65,206: 사라지지 않는,2023-06-21,16324356,0,16821356,1589,1651,26,176,한국,한국,찬란
66,토리와 로키타,2023-05-10,12050058,0,97970968,1519,10226,9,133,벨기에,"벨기에,프랑스",(주)영화사 진진
67,블랙 워터: 어비스,2023-06-14,12964975,0,12964975,1472,1472,56,367,호주,호주,주식회사 원더스튜디오
68,엔니오: 더 마에스트로,2023-07-05,15662000,0,15662000,1388,1388,2,6,이탈리아,이탈리아,"(주)영화사 진진,(주)씨네필운"
69,메리 마이 데드 바디,2023-05-17,15858300,0,346701400,1387,30333,11,66,대만,대만,"주식회사 원더스튜디오,(주)리안컨텐츠"
70,"1986 그 여름, 그리고 고등어통조림",2023-07-05,9555000,0,10899000,1365,1557,3,8,일본,일본,와이드 릴리즈(주)
71,북 오브 러브,2023-06-21,12448198,0,12448198,1356,1356,31,247,미국,미국,(주)스튜디오디에이치엘
72,너의 이름은.,2017-01-04,12042405,0,31290797177,1293,3863430,8,103,일본,일본,플러스엠 엔터테인먼트
73,빈틈없는 사이,2023-07-05,11500000,0,11500000,1272,1272,5,5,한국,한국,"(주)갤리온엔터테인먼트,영화로운 형제"
74,존 윅 4,2023-04-12,12676014,0,19955276604,1205,1924620,8,92,미국,미국,(주)레드아이스 엔터테인먼트
75,극장판 리틀 슈퍼맨 샘샘,2023-05-18,9546900,0,32259850,1135,3658,19,32,프랑스,프랑스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹"
76,빅트립2: 아기곰 배달 대작전,2023-05-27,9511550,0,49788450,1086,5653,33,170,러시아,러시아,와이드 릴리즈(주)
77,사슴의 왕,2023-05-25,6379137,0,63790237,1071,8575,6,66,일본,일본,트윈플러스파트너스(주)
78,카일리 블루스,2023-05-24,9959900,0,24639479,1035,2538,13,154,중국,중국,찬란
79,세인트 세이야: 더 비기닝,2023-05-31,6515609,0,8842606,1033,1443,41,209,일본,일본,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
80,어디로 가고 싶으신가요,2023-07-05,9460800,0,9460800,947,947,4,6,한국,한국,(주)디스테이션
81,말이야 바른 말이지,2023-05-17,6455500,0,23296082,928,2816,11,186,한국,한국,서울독립영화제
82,안나푸르나,2023-06-08,7737356,0,7737356,911,911,16,133,한국,한국,시네마 뉴원
83,거울 속 외딴 성,2023-04-12,6553534,0,486206285,896,50390,7,44,일본,일본,워터홀컴퍼니(주)
84,굿바이,2008-10-30,7641500,0,955781020,884,150336,6,56,일본,일본,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,㈜케이디미디어"
85,만해 한용운 님의침묵,2023-06-29,10709000,0,10709000,881,881,10,21,한국,한국,시네마 뉴원
86,엽문의 시작,2023-06-23,9512500,0,9512500,874,874,48,85,중국,중국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹"
87,뽀로로 극장판 보물섬 대모험,2019-04-25,5167000,0,5897579400,825,768714,17,78,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
88,줄리아의 인생극장,2023-05-24,6640527,0,18214179,812,2096,13,138,프랑스,프랑스,해피송
89,무기여 잘 있거라,1974-01-01,1581000,0,23777534,783,12703,1,12,미국,미국,
90,"믿거나 말거나, 진짜야",2023-06-21,7452726,0,7452726,770,770,20,150,프랑스,프랑스,M&M 인터내셔널
91,탄생,2022-11-30,4691000,0,3145291416,758,349810,2,41,한국,한국,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트"
92,죽음의 사막,,1463000,0,4713000,724,1799,1,16,미국,미국,
93,나비효과,2023-06-22,6493500,0,6493500,714,714,29,108,한국,한국,시네마 뉴원
94,라라랜드,2016-12-07,8169000,0,31125290478,703,3771871,3,16,미국,미국,판씨네마(주)
95,남매의 여름밤,2020-08-20,8879000,0,196900102,683,23399,1,4,한국,한국,그린나래미디어(주)
96,로보카폴리 안전교실 교통편,2022-09-19,4032000,0,56108000,672,9347,2,15,한국,한국,(주)로이비쥬얼
97,실버맨,2023-06-14,4861600,0,4861600,649,649,10,94,한국,한국,(주)이놀미디어
98,원한의 도곡리 다리,,2010000,0,16494000,633,7483,1,13,미국,미국,
99,사브리나,,1252000,0,36999000,624,14559,1,16,미국,미국,
100,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,5364700,0,1140998884,609,111464,2,49,미국,미국,워터홀컴퍼니(주)
101,남태평양 목선작전,,1196000,0,1926000,598,1111,1,16,미국,미국,
102,빅 트레일,,1180000,0,3499000,585,1358,1,12,미국,미국,
103,국제시장,2014-12-17,3126000,0,110950747230,571,14265049,2,7,한국,한국,(주)씨제이이엔엠
104,솔로몬과 시바의 여왕,1972-11-24,1132000,0,20520000,566,9676,1,9,미국,미국,
105,불타는 전장,,1096000,0,5213500,548,2535,1,12,미국,미국,
106,송암동,,4570000,0,10818000,547,1311,1,2,한국,한국,(주)훈프로
107,존 휴스턴 회고전-미스터 앨리슨,,1038000,0,5148000,519,2428,1,12,미국,미국,
108,장희빈,,1036000,0,14751000,513,7358,1,12,한국,한국,
109,배우의 꿈,2023-06-05,2958000,0,2958000,501,501,1,5,캐나다,캐나다,신세기 유통
110,뮤지컬 윌리엄과 윌리엄의 윌리엄들,2023-06-28,9934000,0,9934000,497,497,9,26,한국,한국,주식회사 푸른잎커뮤니케이션
111,케인호의 반란,,991000,0,10184000,488,5113,1,12,미국,미국,
112,클로즈,2023-05-03,4103500,0,114044737,477,11597,10,84,벨기에,"벨기에,네덜란드,프랑스","찬란,(주)하이스트레인저"
113,수상한 그녀,2014-01-22,3366000,0,62725237849,474,8661325,1,3,한국,한국,(주)씨제이이엔엠
114,2001 스페이스 오디세이,,5202000,0,209657200,459,20496,5,25,영국,"영국,미국",워너브러더스 코리아(주)
115,오네긴,,14025800,0,14025800,458,458,16,73,독일,독일,
115,노트르담 온 파이어,2023-06-29,3945500,0,3945500,458,458,20,37,프랑스,프랑스,찬란
117,극장판 극주부도,2023-06-16,2910280,0,2910280,433,433,5,82,일본,일본,(주)미디어캐슬
118,애프터 양,2022-06-01,4139000,0,402638300,432,41627,1,24,미국,미국,"(주)영화특별시에스엠씨,주식회사 왓챠"
119,룸 쉐어링,2022-06-22,2125000,0,142870480,425,17992,4,4,한국,한국,"주식회사 엔픽플,트윈플러스파트너스(주)"
120,극장판 피노키오 위대한 모험,2023-07-13,3762000,0,3762000,418,418,1,2,헝가리,헝가리,"와이드 릴리즈(주),(주)태양미디어그룹"
121,데스티네이션 도쿄,,831000,0,4132000,413,2061,1,12,미국,미국,
121,영원한 봄,,4130000,0,4130000,413,413,1,3,캐나다,캐나다,
123,코다,2021-08-31,4110000,0,716438099,411,79735,2,5,프랑스,프랑스,판씨네마(주)
124,전장이여 영원히,,828000,0,5135000,409,2615,1,12,미국,미국,
125,성춘향,1961-01-28,766000,0,22585000,383,10829,1,12,한국,한국,
126,날씨의 아이,2019-10-30,3664919,0,6246342371,370,756221,3,46,일본,일본,"플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)"
127,극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,2478500,0,1599725599,357,172526,7,42,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
128,보 이즈 어프레이드,2023-07-05,3204000,0,3204000,356,356,2,2,미국,미국,(주)스튜디오디에이치엘
129,녹색광선,,3377000,0,62314200,352,7015,2,27,프랑스,프랑스,(주)영화사 안다미로
