■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202301~202306   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2023년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
452,여선배의 팬티스타킹 뒷문 개방,2023-06-13,6000,0,6000,1,1,1,1,일본,일본,(주)영진크리에이티브
452,피팅룸에서 즐기는 스릴섹스,2023-06-14,6000,0,6000,1,1,1,1,일본,일본,(주)영진크리에이티브
452,초대남:여친에게 바친 대물,2023-06-14,6000,0,6000,1,1,1,1,일본,일본,(주)영진크리에이티브
452,스튜어디스 누나 한번만 해주세요,2023-06-14,6000,0,6000,1,1,1,1,일본,일본,(주)영진크리에이티브
452,시아버지 냄새에 젖어버린 며느리,2023-06-10,6000,0,6000,1,1,1,1,일본,일본,(주)영진크리에이티브
452,새엄마 세워주세요,2023-06-10,6000,0,6000,1,1,1,1,일본,일본,(주)영진크리에이티브
452,제수씨의 흠뻑젖은 뒷모습,2023-06-29,6000,0,6000,1,1,1,1,일본,일본,(주)가온콘텐츠
452,아들의 여자가 된 며느리,2023-06-29,6000,0,6000,1,1,1,1,일본,일본,(주)가온콘텐츠
452,꽉 채워줄 남자 있나요？,2023-06-23,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,수치심 없는 음탕 아줌마,2023-06-23,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,나만 찾는 우리 형부,2023-06-16,6000,0,6000,1,1,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
452,2대1 출장마사지 2,2023-06-07,1000,0,1000,1,1,1,1,한국,한국,주식회사 루믹스미디어
452,여대생의 은밀한 성욕 분출,2023-06-23,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,귀여운 얼굴로 변태 짓 하는 여자들,2023-06-23,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,여대생 스와핑클럽,2023-06-14,1000,0,1000,1,1,1,1,한국,한국,주식회사 루믹스미디어
452,섹스 재활센터,2023-06-07,1000,0,1000,1,1,1,1,한국,한국,(주)로드하우스
452,매혹적인 아인의 황홀한 섹스,2023-06-23,1000,0,1000,1,1,1,1,한국,한국,에이원 미디어
452,사촌 오빠의 대물,2023-06-22,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,내 물건을 사랑했던 형수님,2023-06-22,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,누나와 공유한 섹스,2023-06-29,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,미쳐버린 섹스,2023-06-29,6000,0,6000,1,1,1,1,한국,한국,(주)샤이커뮤니케이션즈
452,동물 왕국,2023-06-12,6000,0,6000,1,1,1,1,한국,한국,영화사 산들바람
555,Birth,,0,0,728000,0,90,1,1,한국,한국,
555,밀라노 두오모 콘서트,2022-01-07,0,0,6469200,0,190,1,1,이탈리아,이탈리아,일미디어
555,육사오(6/45),2022-08-24,0,0,19791780880,0,1980856,1,1,한국,한국,"(주)홈초이스,(주)싸이더스"
555,애월,2019-09-26,0,0,11763360,0,1406,1,1,한국,한국,(주)드림팩트엔터테인먼트
555,시집가는 날,1957-02-11,0,0,3226000,0,2106,1,2,한국,한국,
555,나의 결혼원정기,2005-11-23,0,0,3860195500,0,632553,1,2,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
555,그레이트 뷰티,2014-06-12,0,0,335411373,0,43565,1,1,이탈리아,"이탈리아,프랑스",(주)영화사 진진
555,자유 결혼,1958-10-14,0,0,6632000,0,3176,1,2,한국,한국,
555,미술관 옆 동물원,1998-12-19,0,0,483000,0,65,1,2,한국,한국,
555,해피엔드,1999-12-11,0,0,4022000,0,479,1,1,한국,한국,
555,달콤한 인생,,0,0,16203000,0,4621,1,1,이탈리아,"이탈리아,프랑스",
합계,,,145115691338,,1109298359755,14522750,125307106,17321,558907,,,
,,,,,,,,,,,,
● 2023년 05월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
1,가디언즈 오브 갤럭시: Volume 3,2023-05-03,41558570678,0.35,41558570678,3936453,3936453,1819,139717,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,분노의 질주: 라이드 오어 다이,2023-05-17,16994798760,0.143,16994798760,1624933,1624933,1731,82524,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
3,슈퍼 마리오 브라더스,2023-04-26,15203394429,0.128,22924703237,1559739,2328838,1576,60940,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
4,범죄도시3,2023-05-31,11356393356,0.096,11356393356,1224178,1224178,2352,15487,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
5,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,6793684949,0.057,6831105825,685661,688746,844,26670,일본,일본,(주)씨제이이엔엠
6,드림,2023-04-26,5594560565,0.047,10779941417,582769,1121631,1226,35958,한국,한국,플러스엠 엔터테인먼트
7,인어공주,2023-05-24,5078651511,0.043,5078651511,487955,487955,1364,29525,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,스즈메의 문단속,2023-03-08,3834375137,0.032,56422991435,383368,5502094,693,20174,일본,일본,(주)쇼박스
9,존 윅 4,2023-04-12,3317051743,0.028,19942600590,324794,1923415,905,19277,미국,미국,(주)레드아이스 엔터테인먼트
10,문재인입니다,2023-05-10,1092623136,0.009,1092623136,112842,112842,602,10166,한국,한국,유한회사 엠프로젝트
11,옥수역귀신,2023-04-19,1111074700,0.009,2741585100,101388,256186,263,5191,한국,"한국,일본",(주)스마일이엔티
12,더 퍼스트 슬램덩크,2023-01-04,991500921,0.008,48851492381,85408,4675115,250,4116,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
13,아기공룡 둘리-얼음별 대모험,1996-07-24,707414754,0.006,707414754,73537,73537,473,3697,한국,한국,워터홀컴퍼니(주)
14,남은 인생 10년,2023-05-24,712780900,0.006,712780900,67024,67024,203,2423,일본,일본,(주)디스테이션
15,슬픔의 삼각형,2023-05-17,410113865,0.003,417403865,41916,42845,294,4105,미국,미국,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)"
16,너의 이름은.,2017-01-04,389568439,0.003,31278754772,37286,3862137,101,1410,일본,일본,플러스엠 엔터테인먼트
17,리바운드,2023-04-05,332589004,0.003,6671989428,36268,695319,368,2052,한국,한국,(주)바른손이앤에이
18,롱디,2023-05-10,302120300,0.003,308183300,35842,36703,262,4926,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
19,메리 마이 데드 바디,2023-05-17,330843100,0.003,330843100,28946,28946,103,1974,대만,대만,"주식회사 원더스튜디오,(주)리안컨텐츠"
20,스트리머,2023-05-10,197679600,0.002,197679600,21966,21966,181,2700,한국,한국,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스"
21,킬링 로맨스,2023-04-14,193227172,0.002,1831889914,20381,191502,139,1326,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
22,엑소시스트: 더 바티칸,2023-05-10,135422965,0.001,135422965,14639,14639,134,2335,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
23,나는 여기에 있다,2023-04-12,101261000,0.001,143076700,13758,18504,23,115,한국,한국,와이드 릴리즈(주)
24,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,111628863,0.001,2353516863,13279,351287,518,793,일본,일본,"(주)넥스트엔터테인먼트월드(NEW),실버스푼"
25,유랑지구2,2023-05-10,100957320,0.001,102685320,13104,13296,138,876,중국,중국,(주)박수엔터테인먼트
26,"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!>",2023-05-03,117266600,0.001,117266600,9982,9982,64,552,한국,한국,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
27,거울 속 외딴 성,2023-04-12,83196261,0.001,479652751,9349,49494,44,571,일본,일본,워터홀컴퍼니(주)
28,클로즈,2023-05-03,89349942,0.001,109941237,9190,11120,51,1217,벨기에,"벨기에,네덜란드,프랑스","찬란,(주)하이스트레인저"
29,2001 스페이스 오디세이,,95296900,0.001,204455200,8350,20037,16,498,영국,"영국,미국",워너브러더스 코리아(주)
30,토리와 로키타,2023-05-10,79670310,0.001,85920910,8216,8707,48,909,벨기에,"벨기에,프랑스",(주)영화사 진진
31,날씨의 아이,2019-10-30,79779166,0.001,6242677452,8064,755851,88,819,일본,일본,"플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)"
32,사슴의 왕,2023-05-25,57411100,0,57411100,7504,7504,119,678,일본,일본,트윈플러스파트너스(주)
33,"조제, 호랑이 그리고 물고기들",2021-03-31,60298900,0.001,295492120,7102,32968,107,1030,일본,일본,(주)팝엔터테인먼트
34,무명,2023-04-26,61300728,0.001,203825737,6467,22443,166,799,중국,중국,(주)콘텐츠판다
35,렌필드,2023-04-19,35193022,0,487833949,5713,53268,59,174,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
36,스프린터,2023-05-24,44731625,0,47881625,5666,6052,48,498,한국,한국,스튜디오 에이드
37,항구의 니쿠코짱!,2023-04-27,33140441,0,86400889,4736,10539,114,379,일본,일본,트윈플러스파트너스(주)
38,빅트립2: 아기곰 배달 대작전,2023-05-27,40276900,0,40276900,4567,4567,128,474,러시아,러시아,와이드 릴리즈(주)
39,치치핑핑의 쿵쿵따 탐험대,2023-04-10,25892000,0,30307000,4304,5034,28,91,한국,한국,(주)에픽캔
40,거신: 바람의 아이,2023-05-18,30521077,0,30521077,3695,3695,77,418,한국,한국,트윈플러스파트너스(주)
41,라이드 온,2023-05-31,30524899,0,30524899,3535,3535,100,145,중국,중국,"(주)넥스트엔터테인먼트월드(NEW),(주)콘텐츠판다"
42,울지마 엄마,2023-05-17,27696000,0,30544000,3397,3749,99,850,한국,한국,주식회사 원더스튜디오
43,리턴 투 서울,2023-05-03,33020792,0,40394792,3311,4201,59,702,프랑스,프랑스,(주)엣나인필름
44,칠중주: 홍콩 이야기,2023-05-11,29013712,0,30291712,3168,3310,70,518,홍콩,홍콩,(주)콘텐츠판다
45,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,20738500,0,4213813775,2969,450854,31,91,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
46,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,19910000,0,2160350817,2850,231236,30,90,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
47,라이스보이 슬립스,2023-04-19,26496558,0,216223622,2753,24383,46,436,캐나다,캐나다,판씨네마(주)
48,트랜스포머,2007-06-28,29813865,0,47740418203,2717,7405449,77,405,미국,미국,"롯데컬처웍스(주)롯데엔터테인먼트,CJ ENM"
49,파벨만스,2023-03-22,24172754,0,814592157,2583,80723,12,182,미국,미국,(주)씨제이이엔엠
50,극장판 리틀 슈퍼맨 샘샘,2023-05-18,22712950,0,22712950,2523,2523,110,401,프랑스,프랑스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹"
51,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,15996500,0,657700000,2272,73289,29,96,벨기에,"벨기에,프랑스",(주)스튜디오디에이치엘
52,드림팰리스,2023-05-31,17785000,0,18537000,2217,2311,71,103,한국,한국,㈜인디스토리
53,자전거 도둑,2023-04-26,18171297,0,37875953,2168,6202,27,350,이탈리아,이탈리아,일미디어
54,블레이드 러너: 파이널 컷,1993-05-08,21176200,0,153850945,1939,16225,15,202,미국,미국,"워너브러더스 코리아(주),주식회사 해리슨앤컴퍼니"
55,말없는 소녀,2023-05-31,17305697,0,24737913,1879,2656,45,58,아일랜드,아일랜드,주식회사 슈아픽처스
56,영웅,2022-12-21,13587000,0,32272096750,1797,3270331,3,27,한국,한국,(주)씨제이이엔엠
57,아임 히어로 더 파이널,2023-03-01,41676000,0,6059713000,1737,250702,28,57,한국,한국,"씨제이포디플렉스 주식회사,CGV ICECON"
58,말이야 바른 말이지,2023-05-17,15512582,0,16840582,1722,1888,34,316,한국,한국,서울독립영화제
59,이니셰린의 밴시,2023-03-15,16361905,0,268407801,1606,26534,6,148,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
60,다음 소희,2023-02-08,12034000,0,1083472168,1496,113855,6,88,한국,한국,트윈플러스파트너스(주)
61,카일리 블루스,2023-05-24,14481579,0,14679579,1470,1503,20,158,중국,중국,찬란
62,로보카폴리 안전교실 교통편,2022-09-19,7952000,0,52076000,1323,8675,9,29,한국,한국,(주)로이비쥬얼
63,줄리아의 인생극장,2023-05-24,11573652,0,11573652,1284,1284,24,170,프랑스,프랑스,해피송
63,바람개비,2023-05-10,11959927,0,11959927,1284,1284,36,216,한국,한국,(주)디스테이션
65,오디션,2023-04-19,11225900,0,68077700,1126,6491,24,168,일본,일본,와이드 릴리즈(주)
66,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,10638177,0,1135634184,1108,110855,4,102,미국,미국,워터홀컴퍼니(주)
67,웅남이,2023-03-22,7233400,0,2866033071,1093,313816,14,59,한국,한국,씨제이 씨지브이(CJ CGV)(주)
68,드리핀 스페셜 무비 : 에덴,,10589000,0,10589000,1059,1059,5,41,한국,한국,
69,내 아내 이야기,2023-05-24,9921709,0,10854709,1026,1157,24,169,독일,독일,(주)영화사 안다미로
70,탄생,2022-11-30,6301879,0,3140600416,944,349052,8,95,한국,한국,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트"
70,에어,2023-04-05,8016600,0,1061526581,944,110108,4,16,미국,미국,워너브러더스 코리아(주)
72,피기,2023-04-26,7822893,0,27381417,861,2988,52,296,스페인,스페인,해피송
73,플레이 뮤지컬 핑크퐁과 아기상어의 생일파티 대소동,2023-05-17,11641500,0,11641500,825,825,27,122,한국,한국,씨제이 씨지브이(CJ CGV)(주)
74,엘리멘탈,2023-06-14,7478000,0,7478000,822,822,1,2,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
75,신데렐라,,22974600,0,22974600,793,793,18,84,영국,영국,
76,송암동,,6248000,0,6248000,764,764,1,4,한국,한국,(주)훈프로
77,수라,2023-06-21,6900000,0,35858000,763,3989,1,7,한국,한국,"스튜디오두마,미디어나무(주),스튜디오 에이드"
78,007 살인번호,,1538000,0,25763000,761,12659,1,16,영국,영국,
79,아머드 사우루스: 기계공룡제국의 침략,2023-04-20,6707200,0,76296435,756,8252,19,65,한국,한국,트윈플러스파트너스(주)
80,킬리만자로의 눈,,1474000,0,21988000,737,10472,1,12,미국,미국,
81,애프터썬,2023-02-01,6531000,0,479257238,703,49238,5,59,영국,영국,"그린나래미디어(주),(주)영화사 안다미로"
82,바깥 나라의 소녀,2023-05-16,4678629,0,4678629,686,686,6,105,일본,일본,(주)미디어캐슬
83,지구 최후의 밤,2019-07-25,6853500,0,69958080,679,8175,3,23,중국,중국,찬란
84,80일간의 세계일주,,1342000,0,13006000,661,6465,1,12,미국,미국,
85,코다,2021-08-31,3884000,0,712328099,660,79324,2,8,프랑스,프랑스,판씨네마(주)
86,엑시트,2019-07-31,4396000,0,79244333162,628,9427588,1,5,한국,한국,(주)씨제이이엔엠
87,오글리스: 웰컴 투 냄새 마을,2023-04-06,5436000,0,113426970,622,13592,3,13,독일,독일,(주)박수엔터테인먼트
88,백주의 결투,,1214000,0,11531000,607,5097,1,12,미국,미국,
89,극장판 안녕 자두야: 제주도의 비밀,2022-01-27,4160000,0,1076079980,596,122253,7,56,한국,한국,(주)씨제이이엔엠
90,언제나 맑음,,1140000,0,1140000,570,570,1,16,미국,미국,
91,마인드케이지,2023-05-31,3446000,0,3446000,566,566,50,50,미국,미국,(주)누리픽쳐스
92,보이스,2021-09-15,3948000,0,14032707720,564,1427380,2,2,한국,한국,(주)씨제이이엔엠
93,물안에서,2023-04-12,4945500,0,35111098,563,3795,13,174,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
94,백야,,1064000,0,7127500,528,3078,1,12,이탈리아,이탈리아,
95,뮤지컬 더 데빌 2021,2023-05-11,10268500,0,10268500,526,526,10,40,한국,한국,씨제이 씨지브이(CJ CGV)(주)
96,파리의 아메리카인,,1056000,0,8162000,518,3783,1,16,미국,미국,
96,포크 촙 힐,,1036000,0,9860500,518,5013,1,12,미국,미국,
98,에브리씽 에브리웨어 올 앳 원스,2022-10-12,4687000,0,3880187829,515,366075,4,53,미국,미국,워터홀컴퍼니(주)
99,진홍의 평원,,1024000,0,8075000,512,4009,1,12,영국,영국,
100,그래도 내가 하지 않았어,2008-12-11,4635224,0,16470224,509,2342,17,138,일본,일본,"(주)드림팩트엔터테인먼트,서울엠피필름(주)"
101,뮤지컬 더 데빌 2018,2023-05-10,9894500,0,9894500,504,504,10,38,한국,한국,씨제이 씨지브이(CJ CGV)(주)
102,더 웨일,2023-03-01,4810876,0,556006366,503,56543,5,86,미국,미국,(주)스튜디오디에이치엘
103,다윗과 밧세바,,950000,0,14005000,475,7008,1,12,미국,미국,
104,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,3269500,0,7060628280,470,894826,8,43,한국,한국,(주)씨제이이엔엠
105,사랑하는 당신에게,2023-05-31,3558198,0,3866698,469,501,25,35,벨기에,"벨기에,스위스",(주)티캐스트
106,권총왕,,928000,0,6345000,464,3140,1,15,미국,미국,
107,아르코 라이브 뮤지컬 호프,2021-03-03,8448000,0,124454000,433,6251,9,31,한국,한국,(주)아이디어랩
108,제비,2023-04-12,3519500,0,23996397,432,2526,6,67,한국,한국,(주)시네마달
109,던전 앤 드래곤: 도적들의 명예,2023-03-29,4305799,0,2935281137,429,293760,3,13,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
110,그 여름,2023-06-07,3608000,0,3608000,411,411,2,3,한국,한국,판씨네마(주)
111,세인트 세이야: 더 비기닝,2023-05-31,2326997,0,2326997,410,410,48,56,일본,일본,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
112,하나님의 마음,2023-06-28,3636000,0,3636000,404,404,2,4,미국,미국,"주식회사 블루필름웍스,(주)버킷스튜디오"
113,회색 양복을 입은 사나이,,778000,0,3322000,389,1375,1,9,미국,미국,
114,"자우림, 더 원더랜드",2023-06-07,5670000,0,5670000,378,378,1,1,한국,한국,메가박스중앙(주)
115,패왕별희 디 오리지널,2017-03-30,3789000,0,1195084978,376,127660,4,40,중국,중국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
116,그날이 오면,,695000,0,14646000,345,6815,1,8,미국,미국,
117,베르나데트의 노래,,666000,0,8570000,333,3981,1,9,미국,미국,
118,사랑의 고고학,2023-04-12,2532000,0,26282958,322,2887,10,108,한국,한국,"(주)맑은시네마,(주)엣나인필름"
119,불멸의 여자,2023-04-05,741000,0,14178696,320,1691,4,37,한국,한국,"(주)드림팩트엔터테인먼트,(주)아크메"
120,라스트 필름 쇼,2023-04-12,2250000,0,36844896,313,3916,4,47,인도,"인도,프랑스,미국","주식회사 블루필름웍스,(주)버킷스튜디오"
121,TAR 타르,2023-02-22,3340044,0,377922984,308,37723,4,27,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
122,아일라,2018-06-21,608000,0,334562900,304,44356,1,12,터키,터키,(주)영화사 빅
123,스크림6,2023-05-24,3270300,0,3270300,301,301,19,99,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
124,박서방,1960-10-05,591000,0,16965500,293,8228,1,12,한국,한국,
125,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,2573400,0,240958900,286,21564,8,32,일본,일본,(주)디스테이션
126,돌핀보이,2023-01-25,1679000,0,228032600,279,25666,2,6,독일,독일,와이드 릴리즈(주)
127,프로메어,2022-10-20,3040259,0,251300275,270,22788,1,3,일본,일본,(주)영화사 그램
127,룸 쉐어링,2022-06-22,2430000,0,140745480,270,17567,1,2,한국,한국,"주식회사 엔픽플,트윈플러스파트너스(주)"
129,초대의 법칙,2023-05-11,1800000,0,1800000,268,268,5,18,기타,기타,주식회사 풍경소리
130,광대: 소리꾼,2022-02-24,1834000,0,153173770,262,19762,1,1,한국,한국,트윈플러스파트너스(주)
131,녹색광선,,2315000,0,58937200,257,6663,2,10,프랑스,프랑스,(주)영화사 안다미로
132,모가디슈,2021-07-28,1764000,0,34603488626,252,3619454,2,2,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
133,차별,2023-03-22,1909000,0,17435398,250,1972,2,19,한국,한국,(주)디오시네마
133,귀를 기울이면,2023-04-19,1683500,0,32292500,250,4050,19,45,일본,일본,(주)팝엔터테인먼트
135,사랑의 결단,,496000,0,2794000,248,1397,1,8,미국,미국,
135,몽상가들,2005-03-25,2376500,0,303698704,248,43427,1,4,프랑스,프랑스,"찬란,오드"
137,카시오페아,2022-06-01,1590000,0,213220300,244,24490,2,3,한국,한국,(주)트리플픽쳐스
138,라탈랑트,,2302000,0,5633000,240,727,2,30,프랑스,프랑스,
139,오직 사랑하는 이들만이 살아남는다,2014-01-09,2249000,0,281412343,235,36888,1,4,영국,"영국,독일,미국,프랑스",찬란
140,폭풍의 밤,,1632000,0,1910000,234,293,1,2,벨기에,"벨기에,프랑스,네덜란드,캐나다",
141,마담 프루스트의 비밀정원,2014-07-24,2200500,0,1278016362,229,163077,1,4,프랑스,프랑스,찬란
141,장기자랑,2023-04-05,1675000,0,70237195,229,7404,8,87,한국,한국,(주)영화사 진진
143,모리스,2019-11-07,2222000,0,133709523,227,15883,1,17,영국,영국,알토미디어(주)
144,뿌까의 짜장면파티,2022-07-04,1344000,0,154827500,224,25663,1,3,한국,한국,(주)에픽캔
144,콜드플레이 뮤직 오브 더 스피어스: 라이브 앳 리버 플레이트,2023-04-19,4928000,0,86592000,224,3936,21,40,영국,영국,씨제이포디플렉스 주식회사
146,두다다쿵: 후후섬의 비밀,2023-02-15,1457000,0,1136200550,220,125950,4,6,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
147,불한당: 나쁜 놈들의 세상,2017-05-17,3052000,0,7772894425,218,966195,1,1,한국,한국,(주)씨제이이엔엠
148,존 휴스턴 회고전-용서받지 못할 자,,577000,0,14950000,216,6725,1,12,미국,미국,
149,"나, 다니엘 블레이크",2016-12-08,2904000,0,759948260,214,100852,1,2,영국,영국,(주)영화사 진진
150,더 데빌,2021-06-23,4105000,0,25371500,213,1357,10,30,한국,한국,CGV ICECON
150,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,1296000,0,4128712321,213,432261,3,6,한국,한국,(주)씨제이이엔엠
152,페도라,,6069700,0,6069700,205,205,8,20,미국,미국,
153,삶과 죽음의 문제,,1418000,0,6608000,204,2335,1,2,영국,영국,
153,해변의 폴린,,1883000,0,43504200,204,4864,2,10,프랑스,프랑스,(주)영화사 안다미로
153,그 아이는 귀족,2023-05-01,1344782,0,1344782,204,204,5,76,일본,일본,(주)미디어캐슬
156,파리 텍사스,1987-08-29,1468000,0,7654000,203,1125,1,2,프랑스,"프랑스,서독,영국",
157,한밤의 암살자,,1416000,0,4382000,202,702,1,2,프랑스,"프랑스,이탈리아",
158,어린 의뢰인,2019-05-22,2000000,0,1690605600,200,204671,1,2,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
158,익스트림 페스티벌,2023-06-07,1800000,0,1800000,200,200,1,1,한국,한국,트윈플러스파트너스(주)
160,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,995000,0,470254418,199,50992,1,3,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
161,디 아워즈,,5885900,0,5885900,196,196,7,23,미국,미국,
162,부기맨,2023-06-06,1746000,0,1746000,194,194,1,1,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
163,"1986 그 여름, 그리고 고등어통조림",2023-07-05,1344000,0,1344000,192,192,1,1,일본,일본,와이드 릴리즈(주)
164,그대 어이가리,2023-03-08,947000,0,65789394,187,7943,2,30,한국,한국,(주)영화사 순수
165,그래서 나는 도끼부인과 결혼했다,1994-01-15,1381000,0,1381000,185,185,1,2,미국,미국,
166,미미와 철수의 청춘스케치,1987-07-04,1061100,0,1061100,184,184,1,1,한국,한국,
167,결혼의 풍경,,1179000,0,1379000,183,226,1,4,스웨덴,스웨덴,
168,뮤지컬 호프,2023-05-11,3580000,0,3580000,182,182,9,26,한국,한국,씨제이 씨지브이(CJ CGV)(주)
169,엄마의 공책,2018-03-15,1200000,0,72540500,180,10798,2,2,한국,한국,아이 엠
169,투란도트,,5652200,0,8916800,180,283,9,20,영국,영국,
171,여름이야기,1998-06-13,1727000,0,30493400,179,3549,1,7,프랑스,프랑스,(주)영화사 안다미로
172,미나리,2021-03-03,1266000,0,10213750650,178,1134502,1,2,미국,미국,판씨네마(주)
173,로제타,2019-05-23,1639000,0,43959950,174,5741,2,15,프랑스,"프랑스,벨기에",찬란
174,스트레이트 스토리,2001-11-30,1606599,0,5758056,173,856,4,39,프랑스,프랑스,"주식회사 블루필름웍스,(주)버킷스튜디오"
175,우수,2022-11-24,334000,0,12274899,167,1580,1,13,한국,한국,㈜인디스토리
176,튤립 모양,2023-04-19,1258000,0,9059099,165,1002,10,50,한국,한국,(주)삼거리픽쳐스
177,소서러,,1140000,0,4467896,164,698,1,2,미국,미국,
178,살룸의 하이에나,2023-04-20,960000,0,2125000,160,359,2,20,프랑스,프랑스,씨네라인월드(주)
179,감쪽같은 그녀,2019-12-04,948000,0,3598295790,158,469925,2,2,한국,한국,플러스엠 엔터테인먼트
180,애니여 총을 잡아라,,314000,0,314000,157,157,1,12,미국,미국,
181,오토라는 남자,2023-03-29,1463399,0,339935730,156,37917,1,9,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
182,존 웨인의 진주만,,310000,0,9748000,155,4619,1,9,미국,미국,
183,자전거 탄 소년,2012-01-19,1538500,0,204410800,154,25866,3,15,벨기에,"벨기에,프랑스",(주)티캐스트
183,나의 사소한 슬픔,2023-06-14,1078000,0,1078000,154,154,1,1,캐나다,캐나다,스튜디오 에이드
183,소울메이트,2023-03-15,1360512,0,2267276069,154,234681,1,8,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
183,내 여자친구의 남자친구,,1470000,0,33585900,154,3554,1,6,프랑스,프랑스,(주)영화사 안다미로
187,로미오와 줄리엣,,306000,0,6813000,153,3394,1,3,영국,"영국,이탈리아",
188,거대한 서부,1972-10-20,459000,0,4566500,150,2090,1,6,미국,미국,
189,모나리자와 블러드 문,2023-03-22,860000,0,191542710,148,21515,5,31,미국,미국,판씨네마(주)
190,슈퍼소닉,2016-11-24,1305000,0,151189428,145,17892,1,1,영국,영국,주식회사 씨네룩스
191,살인의 낙인,,974000,0,1984000,141,373,1,2,일본,일본,
192,가자 항해자여,,270000,0,4495000,135,2099,1,9,미국,미국,
193,정이,,794000,0,794000,133,133,1,1,한국,한국,
194,마당을 나온 암탉,2011-07-28,839000,0,14687655397,132,2204870,3,3,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
195,촌색씨,,262000,0,6006000,131,3003,1,9,한국,한국,
195,서치 2,2023-02-22,1179000,0,4084323024,131,414598,1,1,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
197,허클베리 핀의 모험,,390000,0,1587500,126,714,1,6,미국,미국,
198,엘머 갠트리,,250000,0,11738500,125,5584,1,4,미국,미국,
198,캘러미티 제인,,250000,0,4045000,125,1976,1,12,,,
