■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-01-01~2023-06-30   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
317,"믿거나 말거나, 진짜야",2023-06-21,7452726,0,7452726,770,770,20,150,프랑스,프랑스,,M&M 인터내셔널,15세이상관람가,"SF,판타지,코미디",쿠엔틴 듀피욱스,"알랭 샤바,레아 드루케"
318,007 살인번호,,1538000,0,25763000,761,12659,1,16,영국,영국,,,,"액션,어드벤처",테렌스 영,"숀 코네리,우슬라 안드레스,버나드 리"
319,더 메뉴,2022-12-07,8706000,0,329386200,749,32109,2,35,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,스릴러,마크 미로드,"랄프 파인즈,안야 테일러 조이,니콜라스 홀트,자넷 맥티어,주디스 라이트,존 레귀자모"
320,킬리만자로의 눈,,1474000,0,21988000,737,10472,1,12,미국,미국,,,,"드라마,멜로/로맨스",헨리 킹,"그레고리 펙,에바 가드너,수잔 헤이워드"
321,남매의 여름밤,2020-08-20,9196000,0,196900102,735,23399,4,25,한국,한국,오누필름,그린나래미디어(주),전체관람가,드라마,윤단비,"박현영,양흥주,최정운,박승준,강석원"
322,바깥 나라의 소녀,2023-05-16,5030329,0,5030329,734,734,6,114,일본,일본,,(주)미디어캐슬,12세이상관람가,"애니메이션,판타지,드라마","쿠보 유타로,마이야 사토미","후쿠야마 준,타카하시 리에"
323,백경,2008-03-15,1466000,0,15108000,728,7322,1,16,영국,영국,,,,"드라마,어드벤처",존 휴스턴,"그레고리 펙,리차드 베이스하트,레오 겐"
324,알라모,,1467000,0,8481000,726,4057,1,8,미국,미국,,,,전쟁,존 웨인,"존 웨인,리차드 위드마크,프랭키 아발론"
325,죽음의 사막,,1463000,0,4713000,724,1799,1,16,미국,미국,메트로-골드윈-마이어,,,"서부극(웨스턴),드라마",존 포드,"존 웨인,페드로 아르멘다리즈,해리 캐리 주니어,워드 본드,매 마쉬"
326,목로주점,,1442000,0,9267000,721,4529,1,12,프랑스,프랑스,,,12세이상관람가,드라마,르네 클레망,"마리아 쉘,프랑스와 페리어"
327,버터필드 8,,1430000,0,12017000,715,5609,1,16,미국,미국,,,,드라마,다니엘 만,"엘리자베스 테일러,로렌스 하비"
328,나비효과,2023-06-22,6493500,0,6493500,714,714,29,108,한국,한국,(주)메타월드,시네마 뉴원,12세이상관람가,"코미디,드라마,멜로/로맨스","민준기,전원창",
328,솔로몬과 시바의 여왕,1972-11-24,1544000,0,20520000,714,9676,1,25,미국,미국,,,,드라마,킹 비더,"지나 롤로브리지다,율 브린너"
330,포크 촙 힐,,2150000,0,10790500,703,5106,1,22,미국,미국,,,,"전쟁,드라마,액션",루이스 마일스톤,"그레고리 펙,해리 구아르디노,립 톤"
331,프렌치 디스패치,2021-11-18,5389486,0,1005872316,697,94044,17,17,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"코미디,드라마,멜로/로맨스",웨스 앤더슨,"틸다 스윈튼,프란시스 맥도먼드,빌 머레이,제프리 라이트,애드리언 브로디,베니치오 델 토로,오웬 윌슨,레아 세이두,티모시 샬라메,마티유 아말릭"
332,중공탈출,,1376000,0,3980000,688,2031,1,16,미국,미국,"워너 브러더스 픽쳐스,세기",,,"액션,전쟁",윌리엄 A. 웰만,"존 웨인,로렌 바콜,폴 픽스"
333,소울,2021-01-20,7500300,0,19042415480,687,2048915,6,33,미국,미국,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피트 닥터,"제이미 폭스,티나 페이"
334,라 비 앙 로즈,2007-11-21,6023900,0,781727695,685,117672,13,89,프랑스,"프랑스,영국,체코",,"(주)영화사 안다미로,(주)블룸즈베리리소시스리미티드,(주)프라임엔터테인먼트",12세이상관람가,드라마,올리비에 다한,"마리옹 꼬띠아르,장 피에르 마틴"
335,폭풍의 언덕,,1366000,0,20621500,678,10030,1,16,미국,미국,,,,드라마,윌리엄 와일러,"로렌스 올리비에,메를 오베론"
335,하이큐!! 승자와 패자,2016-12-28,6717997,0,392982997,678,54757,4,28,일본,일본,,"(주)이수C&E,(주)팝엔터테인먼트",12세이상관람가,애니메이션,미츠나카 스스무,
337,안나 카레니나,2018-06-29,6907800,0,77317700,672,6071,13,107,한국,한국,(주)비프로,(주)비프로,12세이상관람가,뮤지컬,신예지,에카테리나 구세바
338,불타는 전장,,1458000,0,5213500,668,2535,1,18,미국,미국,유니버셜 픽쳐스,,,"드라마,전쟁",제스 히브즈,"오디 머피,마샬 톰슨,찰스 드레이크,잭 켈리"
339,레드 리버,,1344000,0,18484500,667,8676,1,12,미국,미국,,,,"서부극(웨스턴),액션,어드벤처",하워드 혹스,"존 웨인,몽고메리 클리프트"
340,80일간의 세계일주,,1342000,0,13006000,661,6465,1,12,미국,미국,,,전체관람가,"어드벤처,코미디",마이클 앤더슨,"데이비드 니븐,캔틴플라스"
341,가디언즈 오브 갤럭시,2014-07-31,6488400,0,11399683084,658,1345257,1,26,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
342,파리의 아메리카인,,1344000,0,8450000,657,3922,1,25,미국,미국,,,,"드라마,뮤지컬,멜로/로맨스",빈센트 미넬리,
343,사요나라,,1304000,0,22721000,652,11253,1,12,미국,미국,,,,"드라마,멜로/로맨스",조슈아 로건,
344,실버맨,2023-06-14,4861600,0,4861600,649,649,10,94,한국,한국,(주)알투디투스튜디오,(주)이놀미디어,12세이상관람가,드라마,최윤호,"김정팔,박상욱,신의현,이경준,유재인"
345,만날때는 언제나 타인,,1298000,0,6766000,644,3368,1,16,미국,미국,,,,멜로/로맨스,리차드 퀴니,"커크 더글라스,킴 노박"
346,상처뿐인 영광,1971-06-26,1286000,0,13108500,643,6537,1,16,미국,미국,,,,드라마,로버트 와이즈,"폴 뉴먼,에버렛 슬로언"
347,하타리,,1295000,0,12263500,640,5701,1,12,미국,미국,,,,"액션,어드벤처,드라마",하워드 혹스,존 웨인
348,기예르모 델토로의 피노키오,2022-11-23,6478000,0,58555500,639,6354,11,92,미국,미국,,씨제이 씨지브이(CJ CGV)(주),전체관람가,"애니메이션,뮤지컬",기예르모 델 토로,"이완 맥그리거,데이비드 브래들리,크리스토프 왈츠,틸다 스윈튼"
348,랩소디,,1278000,0,7829000,639,3396,1,16,미국,미국,,,,"드라마,멜로/로맨스,뮤지컬",찰스 비더,"엘리자베스 테일러,비토리오 가스만,존 에릭슨,루이스 칼헌,마이클 체코프,리차드 헤이그만"
350,스톤 부인의 로마의 봄,,1276000,0,10211000,638,4723,1,16,미국,"미국,영국",,,15세이상관람가,드라마,호세 쿠인테로,"워렌 비티,비비안 리"
351,원한의 도곡리 다리,,2010000,0,16494000,633,7483,1,13,미국,미국,,,,"드라마,전쟁",마크 로브슨,"윌리엄 홀든,그레이스 켈리"
352,당나귀 EO,,5998996,0,5998996,631,631,10,24,폴란드,"폴란드,영국,이탈리아",,찬란,15세이상관람가,드라마,저지 스콜리모우스키,이자벨 위페르
352,업,2009-07-29,6931300,0,7551523400,631,1033657,5,30,미국,미국,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,"애니메이션,코미디,어드벤처,가족","피트 닥터,밥 피터슨","에드워드 애스너,밥 피터슨,이순재"
354,달콤 쌉사름한 초콜릿,,19418300,0,19418300,629,629,17,92,영국,영국,,,,공연,,
355,남태평양 목선작전,,1256000,0,1926000,628,1111,1,20,미국,미국,,,,"코미디,드라마,전쟁",리차드 머피,잭 레먼
355,엑시트,2019-07-31,4396000,0,79244333162,628,9427588,1,5,한국,한국,"(주)외유내강,(주)필름케이",(주)씨제이이엔엠,12세이상관람가,"코미디,액션",이상근,"조정석,임윤아,고두심,박인환,김지영,강기영,오희준,배유람,유수빈,조성희,주보비,김강현,정민성,박성일,신세휘,김경룡,김강훈,강덕중,강충훈,박상혁,곽민규,민대웅,권혁주,박윤희,박윤희,박정환,박주홍,설도희,배해선,백현익,신철진,양지혜,김병순,오누리,김보성,김상보,윤대열,오유진,김서율,김선호,김수연,김현수,김현수,이정인,정재은,임희수,최서현,정지우,최성윤,김형기,이선우,이성수,이성훈,조성동,김호정,조예린,김종구,황슬기,조윤호,전혜원,이찬유,조은성,최재영,최재영,이수정,김주아,강기영,김준수,이경오,주보비,주보비,최진영,고두심,곽새빛,곽호중,권상혁,최현아,권은빈,최혜인,기상원,채서원,김한솔,이동휘,이동희,이랑서,김태한,임종현,이창진,김이석,한우리,이화정,이봉련,김환영,김태환,주예서,김태율,정우영,정새다솜,정윤지,채승혜,슈기(최슬기),천대만,윤해빈,이채원,이재국,이학광,최영도,이현하,박재랑,이용탁,박채익,반혜라,탁트인,손현준,장서우,송원수,변건우,한서율,한승효,황지현,황효은,한윤식,허철,허형규,홍나현,강경수"
357,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,5985900,0,23461577086,626,2736686,1,22,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
358,사브리나,,1252000,0,36999000,624,14559,1,16,미국,미국,파라마운트 픽쳐스,,,"코미디,멜로/로맨스",빌리 와일더,"험프리 보가트,오드리 헵번,윌리엄 홀덴"
359,라스트필름,2022-12-29,3301500,0,7889200,620,1064,15,177,한국,한국,"(주)오죤필름,(주)동녘필름,리메인프로덕션",영화배급협동조합 씨네소파,12세이상관람가,드라마,전수일,"장현성,김진혁,김상오,정은영,김남우,박현준,김수민,현은영,유순철,양귀례,김혜정,박상규,차호준,이익수,김우진,유준혁,안준우,윤동주,이재희,이주현,손빛나"
359,빌리 아일리시: 라이브 앳 디 오투 (확장판),2023-01-27,15497500,0,15497500,620,620,33,33,미국,미국,,씨제이포디플렉스 주식회사,12세이상관람가,공연,,
361,존 휴스턴 회고전-미스터 앨리슨,,1341000,0,5148000,618,2428,1,18,미국,미국,,,,"액션,드라마,어드벤처",존 휴스턴,"데보라 카,로버트 미첨"
362,존 윅 - 리로드,2017-02-22,3716394,0,2235423495,615,280069,18,103,미국,미국,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,이안 맥쉐인,루비 로즈,브리짓 모나핸,피터 스토메어,존 레귀자모,로렌스 피쉬번,데이비드 패트릭 켈리,커먼,랜스 레딕,리카르도 스카마르치오"
363,류이치 사카모토: 코다,2018-06-14,6451260,0,129505660,609,14940,3,24,일본,일본,,주식회사 씨네룩스,전체관람가,다큐멘터리,스티븐 쉬블,사카모토 류이치
364,극장판 겁쟁이 페달,2023-02-01,4552297,0,4552297,608,608,5,102,일본,일본,,(주)미디어캐슬,전체관람가,드라마,미키 코이치로,"이토 켄타로,하시모토 칸나,류세이 료"
365,백주의 결투,,1214000,0,11531000,607,5097,1,12,미국,미국,,,15세관람가,"드라마,멜로/로맨스,서부극(웨스턴)",킹 비더,"그레고리 펙,릴리안 기쉬,허버트 마샬,조셉 코튼,월터 휴스톤,찰스 빅포드,라이오넬 배리모어,제니퍼 존스"
366,그 여름 가장 조용한 바다,2004-08-13,5911000,0,47107034,605,6471,1,28,일본,일본,"오피스 키타노,토호 컴퍼니","(주)영화사 진진,(주)스폰지이엔티",12세관람가,드라마,기타노 다케시,"카와하라 사부,마키 쿠로우도"
366,극장판 안녕 자두야: 제주도의 비밀,2022-01-27,4218000,0,1076079980,605,122253,7,57,한국,한국,아툰즈,(주)씨제이이엔엠,전체관람가,애니메이션,손석우,"여민정,정혜옥,김영은,양정화,정유미,정혜원,김새해,강성우,김현지,양정화,최준영,김영은,정혜옥,김새해,김다올,김현지,정유정,김영은,최준영,김다올,김새해,강성우,김다올,정유정,정유미,김현지,김다올,강성우"
368,졸업,1971-06-19,4650900,0,48223166,604,6564,11,184,미국,미국,유나이티드 아티스트,시네마 뉴원,"청소년관람불가,15세이상관람가","드라마,코미디",마이크 니콜스,"앤 밴크로프트,더스틴 호프만"
368,케인호의 반란,,1223000,0,10184000,604,5113,1,21,미국,미국,,,,"드라마,전쟁",,
370,하나 그리고 둘,2000-10-28,5684000,0,96598100,598,10383,1,31,대만,"대만,일본",아톰필름즈,(주)리틀빅픽쳐스,"12세이상관람가,전체관람가","드라마,가족",에드워드 양,"오념진,금연령,켈리 리,조나단 창,이세이 오가타,진희성"
371,영국 로열 발레: 다이아몬드 기념 공연,,18483600,0,18483600,596,596,19,89,영국,영국,,,,공연,,
372,백만장자와 결혼하는 법,,1195000,0,8650500,595,4243,1,16,미국,미국,,,12세관람가,"코미디,멜로/로맨스",진 네글레스코,"마릴린 몬로,베티 그레블,로렌 바콜"
373,다윗과 밧세바,,1285000,0,14005000,594,7008,1,26,미국,미국,,,,"드라마,멜로/로맨스",헨리 킹,"그레고리 펙,수잔 헤이워드"
374,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,2020-04-02,5310993,0,110402103,593,13604,4,37,일본,일본,,동우에이앤이(주),12세이상관람가,애니메이션,히시다 마사카즈,
374,형제는 용감하였다,,1201000,0,10280000,593,5110,1,25,미국,미국,,,,"멜로/로맨스,드라마",리처드 소프,"로버트 테일러,앤 블리스"
376,상류사회,,1180000,0,6178500,590,2818,1,16,미국,미국,메트로-골드윈-마이어,,,"코미디,멜로/로맨스,뮤지컬",찰스 월터스,"빙 크로스비,그레이스 켈리,프랭크 시내트라,셀레스테 홈"
377,스트레이트 스토리,2001-11-30,4960056,0,5966056,589,878,6,99,프랑스,프랑스,,"주식회사 블루필름웍스,(주)버킷스튜디오",전체관람가,드라마,데이빗 린치,"씨씨 스페이식,리차드 판스워드"
378,디자이닝 우먼,,1174000,0,5621000,587,2808,1,16,미국,미국,메트로-골드윈-마이어,,,"코미디,멜로/로맨스",빈센트 미넬리,"그레고리 펙,로렌 바콜,돌로레스 그레이"
379,성춘향,1961-01-28,1260000,0,22585000,586,10829,1,27,한국,한국,신필름,,,"드라마,멜로/로맨스,사극",신상옥,"최은희,김진규"
380,빅 트레일,,1180000,0,3499000,585,1358,1,12,미국,미국,,,,"서부극(웨스턴),멜로/로맨스","라울 월쉬,루이스 R. 로플러",존 웨인
380,애니씽 고즈: 라이브 인 런던,2023-03-08,10376500,0,10376500,585,585,17,139,영국,영국,,(주)위즈온센,12세이상관람가,"뮤지컬,코미디,멜로/로맨스,공연",,
380,프라하 블타바 강변 콘서트,,13762200,0,13762200,585,585,15,62,독일,독일,,,,공연,세묜 비치코프,
383,기적을 믿는 소녀,2023-07-05,6080000,0,18995000,572,1889,2,4,미국,미국,,홀리가든,전체관람가,"드라마,가족",리처드 코렐,"미라 소르비노,케빈 소르보,피터 코요테,오스틴 존슨"
384,국제시장,2014-12-17,3126000,0,110950747230,571,14265049,2,7,한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수,김근영,허동원,현봉식,강신철,손영순,박혜진,유정호,남진복,신정섭"
384,아일라,2018-06-21,2427000,0,336162900,571,44516,1,16,터키,터키,,(주)영화사 빅,15세이상관람가,"드라마,전쟁",칸 울카이,"김설,이스마일 하지오글루"
386,언제나 맑음,,1140000,0,1140000,570,570,1,16,미국,미국,,,,"코미디,드라마,뮤지컬","스탠리 도넌,진 켈리","진 켈리,댄 데일리,시드 채리스,돌로레스 그레이"
387,수상한 그녀,2014-01-22,3821000,0,62725237849,565,8661325,1,5,한국,한국,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",(주)씨제이이엔엠,15세이상관람가,드라마,황동혁,"심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언,임현성,정인기,이상희,하연주,박혜진,김남순,조혜선"
388,보이스,2021-09-15,3948000,0,14032707720,564,1427380,2,2,한국,한국,(주)수필름,(주)씨제이이엔엠,15세이상관람가,"범죄,액션","김선,김곡","강현아,변요한,조한철,김무열,김희원,박명훈,이주영,조재윤,이규성,이운산,옥자연,윤종석,성도현,조현식,윤병희,김가영,홍경,문동혁,라민,류성현,윤슬,홍승일,윤대열,윤영균,조준,윤봉길,강득종,양지수,김장원,윤정로,이지현,김민식,이강녕,유정호,조용근,김상묵,김희상,고윤안,안진영,박찬국,주명철,유영섭,이근후,이동용,최재훈,박지훈,노재훈,이병희,서덕인,정영기,김건,정현주,임요한,김연교,백우영,박지영,정현재,박진아,김태향,심소영,박광재,남태우,이성민,신동훈,문정대,김근영,최홍락,원진호,곽기훈,이시후,이정섭,황재하,이영희,정혜경,안진영,김완수,최지연,지한별,서지호,김현수,원진아,최병모,손종학,민성욱,손병호,기주봉,차순배,박진수"
388,해바라기,1982-11-14,5616500,0,33240500,564,12500,14,103,이탈리아,이탈리아,모스필름,,,드라마,비토리오 데 시카,"소피아 로렌,마르첼로 마스트로얀니"
390,여심,,1136000,0,7131000,563,3286,1,16,미국,미국,콜럼비아 픽쳐스 코포레이션,,15세이상관람가,드라마,조지 시드니,"리타 헤이워드,프랭크 시내트라,킴 노박"
391,왕과 나,,1122000,0,12047000,561,5652,1,16,미국,미국,투엔티쓰 센츄리-폭스 필름 코퍼레이션,,전체관람가,"뮤지컬,코미디,가족,멜로/로맨스",월터 랭,"율 브린너,데보라 카"
392,그래도 내가 하지 않았어,2008-12-11,4935224,0,16770224,560,2393,17,144,일본,일본,,"(주)드림팩트엔터테인먼트,서울엠피필름(주)",12세이상관람가,드라마,수오 마사유키,"카세 료,세토 아사카,야쿠쇼 코지"
392,현기증,,1160000,0,73834642,560,13010,1,12,미국,미국,,(주)영화사 안다미로,15세이상관람가,"스릴러,범죄",알프레드 히치콕,"킴 노박,제임스 스튜어트,바바라 벨 게디스"
394,권총왕,,1206000,0,6345000,556,3140,1,21,미국,미국,,,,서부극(웨스턴),헨리 킹,"그레고리 펙,헬렌 웨스트코트"
394,백조,,1117000,0,8395000,556,3951,1,16,미국,미국,메트로-골드윈-마이어,,,"사극,코미디,드라마",,
396,서부삼형제,,1106000,0,3824000,553,1864,1,12,미국,미국,,,,서부극(웨스턴),,제프리 헌터
397,뮌헨 오데온스 광장 콘서트,,12982000,0,12982000,552,552,17,61,독일,독일,,,,공연,다니엘 하딩,
398,오션스 일레븐,,1110000,0,5915000,550,2677,1,18,미국,미국,,,,"범죄,코미디",루이스 마일스톤,"프랭크 시내트라,딘 마틴,새미 데이비스 주니어,피터 로포드,앤지 디킨슨"
399,로미오와 줄리엣,,1098000,0,6813000,549,3394,1,12,영국,"영국,이탈리아",,,,멜로/로맨스,레나토 카스텔라니,로렌스 하비
400,매복,2023-01-12,3300000,0,3300000,548,548,21,34,미국,미국,,(주)케이티알파,15세이상관람가,"액션,드라마,전쟁",피에르 모렐,
401,존 윅,2015-01-21,3354552,0,964995270,547,122857,18,98,미국,미국,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",청소년관람불가,"액션,스릴러","데이빗 레이치,채드 스타헬스키","키아누 리브스,애드리앤 팰리키,윌렘 데포"
401,존 윅 3: 파라벨룸,2019-06-26,3320822,0,8238140180,547,1007930,16,96,미국,미국,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,할리 베리,로렌스 피쉬번,이안 맥쉐인"
403,왕자와 무희,,1194000,0,10269000,546,4922,1,18,미국,"미국,영국",워너 브러더스 픽쳐스,,,"코미디,드라마",로렌스 올리비에,"리차드 와티스,데이빗 혼,제레미 스펜서,시빌 손다이크,로렌스 올리비에,마릴린 몬로"
404,영호작전,,1096000,0,3608000,543,1799,1,16,미국,미국,RKO 라디오 픽쳐스,,,"드라마,전쟁",테이 가넷,"로버트 미첨,앤 블리스"
404,킹 오브 프리즘 (바이 프리티 리듬),2016-08-11,4753827,0,1016311477,543,122435,4,33,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,우치다 유우마
406,사랑할 때와 죽을 때,,1080000,0,24083000,540,11694,1,9,미국,미국,,,,"드라마,멜로/로맨스,전쟁",더글라스 서크,"존 개빈,리셀로테 풀베르"
407,해변의 폴린,,5149000,0,45918200,537,5108,2,35,프랑스,프랑스,,(주)영화사 안다미로,15세이상관람가,드라마,에릭 로메르,
408,말타의 매,,1068000,0,4799000,534,1708,1,12,미국,미국,,,,"범죄,미스터리",존 휴스턴,"험프리 보가트,메리 아스토"
409,마타하리,,1063000,0,6370000,530,3086,1,15,미국,미국,,,,드라마,조지 피츠모리스,"그레타 가르보,라이오넬 배리모어"
410,남태평양,1971-08-07,1058000,0,22340924,529,12472,1,8,미국,미국,이십세기폭스필름코퍼레이션,,15세이상관람가,"멜로/로맨스,뮤지컬,전쟁",조슈아 로건,"밋지 게이너,로자노 브레지,밋지 게이너,로자노 브레지"
411,백야,,1064000,0,7127500,528,3078,1,12,이탈리아,이탈리아,,,,드라마,루치노 비스콘티,"마리아 쉘,마르첼로 마스트로얀니,장 마레"
412,뮤지컬 더 데빌 2021,2023-05-11,10268500,0,10268500,526,526,10,40,한국,한국,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"공연,뮤지컬",조윤수,
413,시라노,,1044000,0,4307000,517,2131,1,16,미국,미국,,,,드라마,마이클 고든,호세 페레
414,7인의 신부,1972-12-24,1028000,0,18216500,514,9046,1,16,미국,미국,메트로-골드윈-마이어,,,"뮤지컬,코미디",스탠리 도넌,"제인 포웰,제프 리차드스,하워드 킬"
415,장희빈,,1036000,0,14751000,513,7358,1,12,한국,한국,화성영화,,,사극,정창화,"김진규,김지미,주증녀"
416,모아나,2017-01-12,5013500,0,18067097307,512,2311531,6,16,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"론 클레멘츠,존 머스커","드웨인 존슨,아우이 크라발호,알란 터딕,제메인 클레멘트,테무에라 모리슨"
416,진홍의 평원,,1024000,0,8075000,512,4009,1,12,영국,영국,,,,"어드벤처,드라마,전쟁",로버트 패리쉬,"그레고리 펙,브렌다 드 밴지"
418,다이얼 M을 돌려라,,1027000,0,15203000,511,7231,1,16,미국,미국,워너 브러더스 픽쳐스,,,"범죄,미스터리,스릴러",알프레드 히치콕,"레이 밀랜드,그레이스 켈리,로버트 커밍스,존 윌리엄스"
419,해녀,,1124000,0,6281000,510,2795,1,18,미국,미국,이십세기폭스필름코퍼레이션,,,"멜로/로맨스,어드벤처",진 네글레스코,"앨런 래드,클리프톤 웹,소피아 로렌"
420,"2021 스웨그 에이지 : 외쳐, 조선!",2021-05-13,10079500,0,44816400,504,4119,5,40,한국,한국,(주)피엘종합기획,(주)위즈온센,12세이상관람가,"뮤지컬,공연","우진하,곽기영","양희준,김수하,임현수,이경수,장재웅,정선기,정아영,김은총,심수영,김승용,김재형,노현창,황자영,민소영,류연진,임상희"
420,뮤지컬 더 데빌 2018,2023-05-10,9894500,0,9894500,504,504,10,38,한국,한국,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"공연,뮤지컬",조윤수,
422,배우의 꿈,2023-06-05,2958000,0,2958000,501,501,1,5,캐나다,캐나다,,신세기 유통,전체관람가,"가족,드라마",,
422,플레이타임,,3741000,0,7708000,501,1019,1,3,프랑스,"프랑스,이탈리아",,,,코미디,자크 타티,리타 메이든
424,줄리어스 시저,,1000000,0,9376000,500,4571,1,12,미국,미국,,,,드라마,조셉 L. 맨키위즈,"말론 브란도,존 길거드,제임스 메이슨"
425,뮤지컬 윌리엄과 윌리엄의 윌리엄들,2023-06-28,9934000,0,9934000,497,497,9,26,한국,한국,한국문화예술위원회,주식회사 푸른잎커뮤니케이션,12세이상관람가,공연,김은영,
426,토니 타키타니,2005-09-22,4717000,0,82290000,488,12189,3,19,일본,일본,,스폰지,12세관람가,드라마,이치카와 준,"이세이 오가타,미야자와 리에"
427,그날이 오면,,975000,0,14926000,485,6955,1,12,미국,미국,,,,"드라마,SF",스탠리 크래이머,"그레고리 펙,에바 가드너"
428,라 트라비아타,,13264300,0,13264300,479,479,6,66,미국,미국,,,,공연,,
429,와일드 인 더 컨츄리,,952000,0,3813000,476,1879,1,16,,,,,,,,
430,만인의 연인,2022-12-01,1793000,0,66207300,473,8387,3,55,한국,한국,(주)시네마달,(주)시네마달,15세이상관람가,드라마,한인미,"황보운,서영희,홍사빈,김민철,전석호,우지현,박정연,이유지,김도경"
430,영 앳 하트,,951000,0,11030000,473,5281,1,16,미국,미국,,,,"드라마,뮤지컬,멜로/로맨스",고든 더글라스,"도리스 데이,프랭크 시내트라"
432,몽상가들,2005-03-25,4425500,0,303698704,471,43427,1,26,프랑스,프랑스,더 레코디드 픽쳐 프로덕션,"찬란,오드",18세관람가,"드라마,멜로/로맨스",베르나르도 베르톨루치,"에바 그린,마이클 피트,루이 가렐,로빈 레누치,안나 챈셀러"
432,피닉스,2021-07-22,3251000,0,106868192,471,12798,1,7,독일,독일,,M&M 인터내셔널,12세이상관람가,드라마,크리스티안 펫졸드,"니나 호스,로널드 제르펠트"
434,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,3269500,0,7060628280,470,894826,8,43,한국,한국,(주)씨제이이엔엠,(주)씨제이이엔엠,전체관람가,애니메이션,변영규,"김영은,김채하,신용우,양정화,김현지,강새봄,강성우,강성우,김다올,김다올,김도희,김명준,김현지,박선영,박시윤,신용우,양정화,유 영,이현,이현,최재호,이상호,이상호,이소은,이소은,이유서,홍승효,홍승효,조현정"
434,하이큐!! 콘셉트의 싸움,2018-01-11,4440896,0,193804996,470,26690,4,25,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,
436,여름이야기,1998-06-13,4408000,0,32484400,463,3760,2,27,프랑스,프랑스,,(주)영화사 안다미로,"12세이상관람가,고등학생이상관람가",드라마,에릭 로메르,"아만다 랑글렛,멜빌 푸포"
437,코만치 영역,,920000,0,920000,460,460,1,12,미국,미국,,,,"어드벤처,멜로/로맨스",조지 셔먼,"모린 오하라,맥도날드 캐리"
438,노트르담 온 파이어,2023-06-29,3945500,0,3945500,458,458,20,37,프랑스,프랑스,,찬란,12세이상관람가,드라마,장 자끄 아노,
438,오네긴,,14025800,0,14025800,458,458,16,73,독일,독일,,,,공연,존 크랑코,
440,데스티네이션 도쿄,,919000,0,4132000,457,2061,1,16,미국,미국,,,,"어드벤처,전쟁,SF",델머 데이비스,"캐리 그랜트,존 가필드"
